Rank,Previous,ID,Assoc,Gender,Name,Points,Previous Points,WeekNum,MonthNum,YearNum
1,1,124591;131036,JPN,W,KIHARA Miyuu/NAGASAKI Miyu,2290,2290,49,0,2020
2,2,110752;117820,JPN,W,HIRANO Miu/ISHIKAWA Kasumi,1555,1555,49,0,2020
3,3,112368;118994,KOR,W,JEON Jihee/YANG Haeun,1455,1455,49,0,2020
4,4,112019;121411,CHN,W,CHEN Meng/WANG Manyu,1450,1450,49,0,2020
5,5,121411;131163,CHN,W,WANG Manyu/SUN Yingsha,1445,1445,49,0,2020
6,6,114105;114706,TPE,W,CHEN Szu-Yu/CHENG Hsien-Tzu,1390,1390,49,0,2020
7,7,105159;115543,HKG,W,DOO Hoi Kem/LEE Ho Ching,1125,1125,49,0,2020
8,8,122261;133000,JPN,W,HASHIMOTO Honoka/SATO Hitomi,1085,1085,49,0,2020
9,9,123848;133405,JPN,W,ODO Satsuki/SHIBATA Saki,975,975,49,0,2020
10,10,106660;115037,HKG,W,NG Wing Nam/SOO Wai Yam Minnie,970,970,49,0,2020
11,11,100868;105913,MIX,W,BALAZOVA Barbora/MATELOVA Hana,900,900,49,0,2020
12,12,117820;123848,JPN,W,HIRANO Miu/SHIBATA Saki,865,865,49,0,2020
12,12,111628;118786,SGP,W,LIN Ye/YU Mengyu,865,865,49,0,2020
14,14,111833;120972,THA,W,PARANANG Orawan/SAWETTABUT Suthasini,860,860,49,0,2020
15,15,117332;121411,CHN,W,WANG Manyu/ZHU Yuling,760,760,49,0,2020
16,16,123232;132251,PRK,W,CHA Hyo Sim/KIM Nam Hae,680,680,49,0,2020
17,17,111601;115760,CHN,W,GU Yuting/MU Zi,660,660,49,0,2020
18,18,110227;112221,USA,W,WU Yue/ZHANG Lily,655,655,49,0,2020
19,19,112463;115009,PUR,W,DIAZ Adriana/DIAZ Melanie,645,645,49,0,2020
20,20,107302;111213,HUN,W,MADARASZ Dora/PERGEL Szandra,625,625,49,0,2020
21,21,107177;115454,POL,W,BAJOR Natalia/PARTYKA Natalia,595,595,49,0,2020
22,22,118786;131342,SGP,W,LIN Ye/ZENG Jian ^^,565,565,49,0,2020
23,23,132095;133000,JPN,W,SHIOMI Maki/HASHIMOTO Honoka,560,560,49,0,2020
24,24,115920;123684,IND,W,BATRA Manika/KAMATH Archana Girish,510,510,49,0,2020
