Rank,Previous,ID,Assoc,Gender,Name,Points,Previous Points,WeekNum,MonthNum,YearNum
1,0,112580;121752,JPN,M,MORIZONO Masataka/OSHIMA Yuya,1410,0,0,12,2017
2,0,102832;112409,MIX,M,FRANZISKA Patrick/GROTH Jonathan,870,0,0,12,2017
3,0,110267;121404,CHN,M,FAN Zhendong/XU Xin,770,0,0,12,2017
4,0,110729;117113,JPN,M,NIWA Koki/YOSHIMURA Maharu,710,0,0,12,2017
5,0,110730;117113,JPN,M,UEDA Jin/YOSHIMURA Maharu,710,0,0,12,2017
6,0,104257;105197,KOR,M,JEOUNG Youngsik/LEE Sangsu,660,0,0,12,2017
7,0,109581;115641,BRA,M,CALDERANO Hugo/TSUBOI Gustavo,650,0,0,12,2017
8,0,102761;109946,GER,M,FILUS Ruwen/WALTHER Ricardo,610,0,0,12,2017
9,0,106814;113317,BEL,M,DEVOS Robin/NUYTINCK Cedric,605,0,0,12,2017
10,0,112620;123690,HKG,M,HO Kwan Kit/WONG Chun Ting,500,0,0,12,2017
11,0,101648;101711,TPE,M,CHEN Chien-An/CHIANG Hung-Chieh,490,0,0,12,2017
12,0,104379;112074,SWE,M,FALCK Mattias/KARLSSON Kristian,460,0,0,12,2017
13,0,102943;111669,SGP,M,GAO Ning/PANG Xue Jie,440,0,0,12,2017
14,0,104128;115546,HKG,M,JIANG Tianyi/LAM Siu Hang,435,0,0,12,2017
15,0,114716;114717,HUN,M,ECSEKI Nandor/SZUDI Adam,405,0,0,12,2017
16,0,111606;118761,CHN,M,FANG Bo/ZHOU Yu,330,0,0,12,2017
17,0,105136;114355,FRA,M,FLORE Tristan/LEBESSON Emmanuel,310,0,0,12,2017
18,0,114936;116820,KOR,M,JANG Woojin/PARK Ganghyeon,260,0,0,12,2017
19,0,104795;116798,CZE,M,KONECNY Tomas/POLANSKY Tomas,255,0,0,12,2017
20,0,105497;107071,RUS,M,LIVENTSOV Alexey/PAIKOV Mikhail,250,0,0,12,2017
21,0,111595;114936,KOR,M,JANG Woojin/JEONG Sangeun,250,0,0,12,2017
22,0,110673;112035,IRI,M,ALAMIAN Nima/ALAMIYAN Noshad,240,0,0,12,2017
23,0,119794;123980,JPN,M,HARIMOTO Tomokazu/KIZUKURI Yuto,240,0,0,12,2017
24,0,105649;110267,CHN,M,MA Long/XU Xin,220,0,0,12,2017
24,0,110729;110730,JPN,M,NIWA Koki/UEDA Jin,220,0,0,12,2017
26,0,101648;119565,TPE,M,CHEN Chien-An/LIAO Cheng-Ting,210,0,0,12,2017
26,0,107456;108246,BLR,M,PLATONOV Pavel/SAMSONOV Vladimir,210,0,0,12,2017
26,0,108581;108742,RUS,M,SHIBAEV Alexander/SKACHKOV Kirill,210,0,0,12,2017
29,0,106050;116620,GER,M,DUDA Benedikt/MENGEL Steffen,205,0,0,12,2017
30,0,112446;113685,FRA,M,HACHARD Antoine/OUAICHE Stephane,200,0,0,12,2017
31,0,114709;114848,BEL,M,ALLEGRO Martin/LAMBIET Florent,195,0,0,12,2017
31,0,100001;103126,IND,M,ANTHONY Amalraj/GNANASEKARAN Sathiyan,195,0,0,12,2017
33,0,119794;119800,JPN,M,KIZUKURI Yuto/TAKAMI Masaki,185,0,0,12,2017
34,0,106777;112073,SWE,M,BRODD Viktor/NORDBERG Hampus,170,0,0,12,2017
34,0,112600;119566,TPE,M,HUNG Tzu-Hsiang/YANG Heng-Wei,170,0,0,12,2017
34,0,109140;121042,ROU,M,PLETEA Cristian/SZOCS Hunor,170,0,0,12,2017
37,0,105176;112346,KOR,M,CHOI Wonjin/LEE Jungwoo,165,0,0,12,2017
37,0,103202;110002,POL,M,GORAK Daniel/WANG Zengyi,165,0,0,12,2017
39,0,103070;111641,IND,M,DESAI Harmeet/GHOSH Soumyajit,160,0,0,12,2017
40,0,119729;119744,CHN,M,FANG Yinchi/ZHU Cheng,160,0,0,12,2017
40,0,103070;103126,IND,M,GHOSH Soumyajit/GNANASEKARAN Sathiyan,160,0,0,12,2017
42,0,119585;120168,TUR,M,GUNDUZ Ibrahim/YIGENLER Abdullah,145,0,0,12,2017
43,0,102968;103345,AUT,M,GARDOS Robert/HABESOHN Daniel,140,0,0,12,2017
43,0,107762;109002,ITA,M,RECH DALDOSSO Marco/STOYANOV Niagol,140,0,0,12,2017
45,0,104314;108574,IND,M,ACHANTA Sharath Kamal/SHETTY Sanil,140,0,0,12,2017
45,0,115927;115928,PRK,M,CHOE Il/PAK Sin Hyok,140,0,0,12,2017
45,0,103202;113931,POL,M,DYJAS Jakub/GORAK Daniel,140,0,0,12,2017
45,0,112284;114718,ENG,M,MCBEATH David/WALKER Samuel,140,0,0,12,2017
49,0,103037;116853,SWE,M,GERELL Par/KALLBERG Anton,130,0,0,12,2017
