Rank,Previous,ID,Assoc,Gender,Name,Points,Previous Points,WeekNum,MonthNum,YearNum
1,1,115910;119588,CHN,M,LIN Gaoyuan/LIANG Jingkun,2190,2190,49,0,2020
2,2,104257;105197,KOR,M,JEOUNG Youngsik/LEE Sangsu,2120,2120,49,0,2020
3,3,110267;121404,CHN,M,FAN Zhendong/XU Xin,2000,2000,49,0,2020
4,4,112620;123690,HKG,M,HO Kwan Kit/WONG Chun Ting,1250,1250,49,0,2020
5,5,119565;121582,TPE,M,LIAO Cheng-Ting/LIN Yun-Ju,1245,1245,49,0,2020
6,6,101222;102832,GER,M,BOLL Timo/FRANZISKA Patrick,1230,1230,49,0,2020
7,7,114715;116620,GER,M,DUDA Benedikt/QIU Dang,1210,1210,49,0,2020
8,8,101648;101820,TPE,M,CHEN Chien-An/CHUANG Chih-Yuan,1130,1130,49,0,2020
9,9,102968;103345,AUT,M,GARDOS Robert/HABESOHN Daniel,1040,1040,49,0,2020
10,10,103903;111050,MIX,M,IONESCU Ovidiu/ROBLES Alvaro,1005,1005,49,0,2020
11,11,105649;121558,CHN,M,MA Long/WANG Chuqin,980,980,49,0,2020
12,12,114716;114717,HUN,M,ECSEKI Nandor/SZUDI Adam,965,965,49,0,2020
13,13,114709;114848,BEL,M,ALLEGRO Martin/LAMBIET Florent,955,955,49,0,2020
14,14,106814;113931,MIX,M,NUYTINCK Cedric/DYJAS Jakub,850,850,49,0,2020
15,15,122777;133694,JPN,M,TOGAMI Shunsuke/UDA Yukiya,820,820,49,0,2020
16,16,114936;117357,KOR,M,JANG Woojin/LIM Jonghoon,765,765,49,0,2020
17,17,105136;114355,FRA,M,FLORE Tristan/LEBESSON Emmanuel,745,745,49,0,2020
18,18,100486;119316,ARG,M,ALTO Gaston/CIFUENTES Horacio,707,707,49,0,2020
19,19,115546;131983,HKG,M,LAM Siu Hang/NG Pak Nam,700,700,49,0,2020
20,20,110673;112035,IRI,M,ALAMIAN Nima/ALAMIYAN Noshad,670,670,49,0,2020
21,21,105649;115910,CHN,M,LIN Gaoyuan/MA Long,640,640,49,0,2020
