Rank,Previous,ID,Assoc,Gender,Name,Points,Previous Points,WeekNum,MonthNum,YearNum
1,1,104257;105197,KOR,M,JEOUNG Youngsik/LEE Sangsu,2200,2200,49,0,2019
2,3,115910;119588,CHN,M,LIN Gaoyuan/LIANG Jingkun,2080,1640,49,0,2019
3,4,110267;121404,CHN,M,FAN Zhendong/XU Xin,1560,1560,49,0,2019
4,2,112620;123690,HKG,M,HO Kwan Kit/WONG Chun Ting,1545,1705,49,0,2019
5,8,101222;102832,GER,M,BOLL Timo/FRANZISKA Patrick,1330,1110,49,0,2019
6,5,119565;121582,TPE,M,LIAO Cheng-Ting/LIN Yun-Ju,1230,1515,49,0,2019
7,7,114936;117357,KOR,M,JANG Woojin/LIM Jonghoon,1205,1205,49,0,2019
8,9,101648;101820,TPE,M,CHEN Chien-An/CHUANG Chih-Yuan,1130,1070,49,0,2019
9,6,103903;111050,MIX,M,IONESCU Ovidiu/ROBLES Alvaro,1125,1345,49,0,2019
10,11,114716;114717,HUN,M,ECSEKI Nandor/SZUDI Adam,1030,970,49,0,2019
11,13,102968;103345,AUT,M,GARDOS Robert/HABESOHN Daniel,1020,940,49,0,2019
11,13,114715;116620,GER,M,DUDA Benedikt/QIU Dang,1020,940,49,0,2019
13,10,105649;121558,CHN,M,MA Long/WANG Chuqin,980,980,49,0,2019
14,19,105136;114355,FRA,M,FLORE Tristan/LEBESSON Emmanuel,785,745,49,0,2019
15,17,110267;119588,CHN,M,XU Xin/LIANG Jingkun,770,770,49,0,2019
16,16,114709;114848,BEL,M,ALLEGRO Martin/LAMBIET Florent,740,825,49,0,2019
17,11,104379;112074,SWE,M,FALCK Mattias/KARLSSON Kristian,730,970,49,0,2019
18,24,106814;113931,MIX,M,NUYTINCK Cedric/DYJAS Jakub,685,545,49,0,2019
19,17,109581;113419,BRA,M,JOUTI Eric/TSUBOI Gustavo,660,770,49,0,2019
20,20,100486;119316,ARG,M,ALTO Gaston/CIFUENTES Horacio,650,650,49,0,2019
21,21,115546;131983,HKG,M,LAM Siu Hang/NG Pak Nam,635,635,49,0,2019
22,24,122777;133694,JPN,M,TOGAMI Shunsuke/UDA Yukiya,600,545,49,0,2019
23,23,100621;106296,POR,M,APOLONIA Tiago/MONTEIRO Joao,590,590,49,0,2019
24,32,112580;117113,JPN,M,MORIZONO Masataka/YOSHIMURA Maharu,570,350,49,0,2019
25,22,103126;104314,IND,M,ACHANTA Sharath Kamal/GNANASEKARAN Sathiyan,550,630,49,0,2019
26,26,110673;112035,IRI,M,ALAMIAN Nima/ALAMIYAN Noshad,495,475,49,0,2019
27,27,105649;115910,CHN,M,LIN Gaoyuan/MA Long,460,460,49,0,2019
27,27,115910;121404,CHN,M,FAN Zhendong/LIN Gaoyuan,460,460,49,0,2019
29,15,112580;121752,JPN,M,MORIZONO Masataka/OSHIMA Yuya,420,860,49,0,2019
30,31,111959;116723,EGY,M,ABDEL-AZIZ Youssef/ASSAR Khalid,360,360,49,0,2019
31,34,100439;102486,EGY,M,EL-BEIALI Mohamed/SALEH Ahmed,340,340,49,0,2019
32,35,114460;117797,AUS,M,HU Heming/YAN Xin ^,330,330,49,0,2019
32,35,105197;123971,KOR,M,LEE Sangsu/CHO Daeseong,330,330,49,0,2019
34,29,116853;122044,SWE,M,KALLBERG Anton/MOREGARD Truls,325,450,49,0,2019
34,37,112620;115546,HKG,M,WONG Chun Ting/LAM Siu Hang,325,325,49,0,2019
36,38,111286;111287,AUS,M,POWELL David/TOWNSEND Kane,320,320,49,0,2019
36,38,114838;120154,POL,M,BADOWSKI Marek/ZATOWKA Patryk,320,320,49,0,2019
36,38,100001;103126,IND,M,ANTHONY Amalraj/GNANASEKARAN Sathiyan,320,320,49,0,2019
39,41,122777;123962,JPN,M,UDA Yukiya/YOSHIMURA Kazuhiro,300,300,49,0,2019
40,43,115546;123690,HKG,M,LAM Siu Hang/HO Kwan Kit,290,290,49,0,2019
40,52,113243;116798,CZE,M,SIRUCEK Pavel/POLANSKY Tomas,290,250,49,0,2019
42,45,111512;115000,PUR,M,AFANADOR Brian/GONZALEZ Daniel,285,285,49,0,2019
43,66,102380;114718,ENG,M,DRINKHALL Paul/WALKER Samuel,280,200,49,0,2019
44,71,113395;120318,SGP,M,CHEW Zhe Yu Clarence/POH Shao Feng Ethan,275,190,49,0,2019
45,33,113376;115118,KSA,M,ALKHADRAWI Ali/BU SHULAYBI Abdulaziz,265,345,49,0,2019
45,46,101514;115396,POR,M,CARVALHO Diogo/GERALDO Joao,265,265,49,0,2019
47,49,107445;116697,SVK,M,PISTEJ Lubomir/KALUZNY Samuel,260,260,49,0,2019
47,49,107028;109946,GER,M,OVTCHAROV Dimitrij/WALTHER Ricardo,260,260,49,0,2019
49,51,110726;113317,MIX,M,DEVOS Robin/OLAH Benedek,255,255,49,0,2019
50,52,123077;132880,PRK,M,RI Kwang Myong/HAM Yu Song,250,250,49,0,2019
50,52,131148;132137,CHN,M,XU Yingbin/CAO Wei,250,250,49,0,2019
52,56,102761;106050,GER,M,FILUS Ruwen/MENGEL Steffen,245,245,49,0,2019
53,57,111683;116424,CHI,M,GOMEZ Gustavo/LAMADRID Juan,240,240,49,0,2019
54,59,114715;116530,GER,M,ORT Kilian/QIU Dang,235,235,49,0,2019
55,43,115866;120947,THA,M,TANVIRIYAVECHAKUL Padasak/WISUTMAYTHANGKOON Supanut,230,290,49,0,2019
55,75,131912;133850,SGP,M,PANG Yew En Koen/CHUA Josh Shao Han,230,175,49,0,2019
57,42,113317;122001,BEL,M,DEVOS Laurens/DEVOS Robin,225,295,49,0,2019
57,60,115011;122804,CHN,M,ZHENG Peifeng/XIA Yizheng,225,225,49,0,2019
57,74,110729;123980,JPN,M,NIWA Koki/HARIMOTO Tomokazu,225,185,49,0,2019
60,52,101192;109002,ITA,M,BOBOCICA Mihai/STOYANOV Niagol,220,250,49,0,2019
60,61,119603;121492,TPE,M,HUANG Chien-Tu/WANG Tai-Wei,220,220,49,0,2019
