Rank,Previous,ID,Assoc,Gender,Name,Points,Previous Points,WeekNum,MonthNum,YearNum
1,4,124591;131036,JPN,W,KIHARA Miyuu/NAGASAKI Miyu,1835,1500,49,0,2019
2,2,121411;131163,CHN,W,WANG Manyu/SUN Yingsha,1665,1665,49,0,2019
3,1,112368;118994,KOR,W,JEON Jihee/YANG Haeun,1355,1740,49,0,2019
4,7,114105;114706,TPE,W,CHEN Szu-Yu/CHENG Hsien-Tzu,1330,1070,49,0,2019
5,3,117821;123672,JPN,W,HAYATA Hina/ITO Mima,1140,1580,49,0,2019
6,5,105159;115543,HKG,W,DOO Hoi Kem/LEE Ho Ching,1110,1170,49,0,2019
7,6,122261;133000,JPN,W,HASHIMOTO Honoka/SATO Hitomi,1055,1160,49,0,2019
8,8,106660;115037,HKG,W,NG Wing Nam/SOO Wai Yam Minnie,1020,1020,49,0,2019
9,9,112019;121411,CHN,W,CHEN Meng/WANG Manyu,1010,1010,49,0,2019
10,11,123848;133405,JPN,W,ODO Satsuki/SHIBATA Saki,880,935,49,0,2019
11,12,100868;105913,MIX,W,BALAZOVA Barbora/MATELOVA Hana,835,915,49,0,2019
12,13,117820;123848,JPN,W,HIRANO Miu/SHIBATA Saki,725,725,49,0,2019
12,13,107302;111213,HUN,W,MADARASZ Dora/PERGEL Szandra,725,725,49,0,2019
14,22,110227;112221,USA,W,WU Yue/ZHANG Lily,715,550,49,0,2019
15,28,110752;117820,JPN,W,HIRANO Miu/ISHIKAWA Kasumi,685,465,49,0,2019
16,15,123232;132251,PRK,W,CHA Hyo Sim/KIM Nam Hae,680,680,49,0,2019
17,16,107177;115454,POL,W,BAJOR Natalia/PARTYKA Natalia,675,675,49,0,2019
18,17,111601;115760,CHN,W,GU Yuting/MU Zi,660,660,49,0,2019
19,18,117332;121411,CHN,W,WANG Manyu/ZHU Yuling,650,650,49,0,2019
20,23,111628;118786,SGP,W,LIN Ye/YU Mengyu,610,530,49,0,2019
21,26,111833;120972,THA,W,PARANANG Orawan/SAWETTABUT Suthasini,595,475,49,0,2019
22,21,112463;115009,PUR,W,DIAZ Adriana/DIAZ Melanie,555,555,49,0,2019
23,25,118786;131342,SGP,W,LIN Ye/ZENG Jian ^^,485,485,49,0,2019
24,24,115920;123684,IND,W,BATRA Manika/KAMATH Archana Girish,440,520,49,0,2019
24,29,105482;112019,CHN,W,LIU Shiwen/CHEN Meng,440,440,49,0,2019
24,29,105482;115760,CHN,W,LIU Shiwen/GU Yuting,440,440,49,0,2019
24,35,132095;133000,JPN,W,SHIOMI Maki/HASHIMOTO Honoka,440,385,49,0,2019
28,20,108226;111012,ROU,W,SAMARA Elizabeta/SZOCS Bernadette,430,570,49,0,2019
28,31,100032;115216,EGY,W,ABDEL-AZIZ Farah/EL-ERAKY Reem,430,430,49,0,2019
30,27,108658;114726,GER,W,LANG Kristin/MITTELHAM Nina,390,470,49,0,2019
30,34,111656;113908,EGY,W,HELMY Yousra/MESHREF Dina,390,390,49,0,2019
32,51,107477;111012,MIX,W,POLCANOVA Sofia/SZOCS Bernadette,385,305,49,0,2019
33,61,112368;131401,KOR,W,YANG Haeun/CHOI Hyojoo,380,240,49,0,2019
34,37,118994;119285,KOR,W,JEON Jihee/LEE Zion,365,365,49,0,2019
35,33,106788;107477,MIX,W,NOSKOVA Yana/POLCANOVA Sofia,360,400,49,0,2019
35,38,101000;109272,AUS,W,BROMLEY Michelle/TAPPER Melissa,360,360,49,0,2019
35,39,120560;121881,BLR,W,BOGDANOVA Nadezhda/TRIGOLOS Daria,360,350,49,0,2019
